type,date,deviceid,roomno,reading
energy,2015-02-13T16:47:26.8727753Z,energy3,1,12497
humidity,2015-02-13T16:47:26.8727753Z,humidity3,1,70
light,2015-02-13T16:47:26.8727753Z,light3,1,613
temperature,2015-02-13T16:47:26.9067977Z,temperature4,1,26.85
energy,2015-02-13T16:47:26.9067977Z,energy4,1,4384
humidity,2015-02-13T16:47:26.9067977Z,humidity4,1,61
light,2015-02-13T16:47:26.9067977Z,light4,1,2184
temperature,2015-02-13T16:47:27.0809222Z,temperature5,1,22.56
energy,2015-02-13T16:47:27.0809222Z,energy5,1,2772
humidity,2015-02-13T16:47:27.0809222Z,humidity5,1,132
light,2015-02-13T16:47:27.0809222Z,light5,1,466
temperature,2015-02-13T16:47:27.1079697Z,temperature6,1,24.39
energy,2015-02-13T16:47:27.1089421Z,energy6,1,3071
humidity,2015-02-13T16:47:27.1089421Z,humidity6,1,71
light,2015-02-13T16:47:27.1089421Z,light6,1,152
temperature,2015-02-13T16:47:27.1399648Z,temperature7,1,23.29
energy,2015-02-13T16:47:27.1399648Z,energy7,1,4059
humidity,2015-02-13T16:47:27.1399648Z,humidity7,1,50
light,2015-02-13T16:47:27.1399648Z,light7,1,517
temperature,2015-02-13T16:47:27.1609786Z,temperature8,1,33.75
energy,2015-02-13T16:47:27.1609786Z,energy8,1,2703
humidity,2015-02-13T16:47:27.1609786Z,humidity8,1,64
light,2015-02-13T16:47:27.1609786Z,light8,1,177
temperature,2015-02-13T16:47:27.5422499Z,temperature9,1,21.84
energy,2015-02-13T16:47:27.5422499Z,energy9,1,4280
humidity,2015-02-13T16:47:27.5422499Z,humidity9,1,45
light,2015-02-13T16:47:27.5422499Z,light9,1,806
temperature,2015-02-13T16:47:27.6573319Z,temperature0,2,27.2
energy,2015-02-13T16:47:27.6573319Z,energy0,2,3125
humidity,2015-02-13T16:47:27.6573319Z,humidity0,2,49
light,2015-02-13T16:47:27.6573319Z,light0,2,1647
temperature,2015-02-13T16:47:27.6843548Z,temperature1,2,20.18
energy,2015-02-13T16:47:27.6843548Z,energy1,2,2885
humidity,2015-02-13T16:47:27.6843548Z,humidity1,2,60
light,2015-02-13T16:47:27.6843548Z,light1,2,1704
temperature,2015-02-13T16:47:27.7784248Z,temperature2,2,19.74
energy,2015-02-13T16:47:27.7784248Z,energy2,2,2767
humidity,2015-02-13T16:47:27.7784248Z,humidity2,2,63
light,2015-02-13T16:47:27.7784248Z,light2,2,383
temperature,2015-02-13T16:47:27.8134498Z,temperature3,2,64.5
energy,2015-02-13T16:47:27.8134498Z,energy3,2,7969
humidity,2015-02-13T16:47:27.8134498Z,humidity3,2,46
light,2015-02-13T16:47:27.8134498Z,light3,2,420
temperature,2015-02-13T16:47:27.8534756Z,temperature4,2,23.79
energy,2015-02-13T16:47:27.8534756Z,energy4,2,3719
humidity,2015-02-13T16:47:27.8534756Z,humidity4,2,45
light,2015-02-13T16:47:27.8534756Z,light4,2,2065
temperature,2015-02-13T16:47:27.8714826Z,temperature5,2,23.07
energy,2015-02-13T16:47:27.8714826Z,energy5,2,4095
humidity,2015-02-13T16:47:27.8714826Z,humidity5,2,91
light,2015-02-13T16:47:27.8714826Z,light5,2,1327
temperature,2015-02-13T16:47:28.4488927Z,temperature6,2,27.52
energy,2015-02-13T16:47:28.4488927Z,energy6,2,2994
humidity,2015-02-13T16:47:28.4488927Z,humidity6,2,112
light,2015-02-13T16:47:28.4488927Z,light6,2,1502
temperature,2015-02-13T16:47:28.5779859Z,temperature7,2,24.26
energy,2015-02-13T16:47:28.5779859Z,energy7,2,3947
humidity,2015-02-13T16:47:28.5779859Z,humidity7,2,43
light,2015-02-13T16:47:28.5779859Z,light7,2,4120
temperature,2015-02-13T16:47:28.5990002Z,temperature8,2,31.02
energy,2015-02-13T16:47:28.5990002Z,energy8,2,2758
humidity,2015-02-13T16:47:28.5990002Z,humidity8,2,95
light,2015-02-13T16:47:28.5990002Z,light8,2,1675
temperature,2015-02-13T16:47:28.6190202Z,temperature9,2,19.87
energy,2015-02-13T16:47:28.6190202Z,energy9,2,3925
humidity,2015-02-13T16:47:28.6190202Z,humidity9,2,47
light,2015-02-13T16:47:28.6190202Z,light9,2,388
temperature,2015-02-13T16:47:28.6600718Z,temperature0,3,27.52
energy,2015-02-13T16:47:28.6610447Z,energy0,3,2498
humidity,2015-02-13T16:47:28.6610447Z,humidity0,3,42
light,2015-02-13T16:47:28.6610447Z,light0,3,248
temperature,2015-02-13T16:47:28.6830594Z,temperature1,3,20.81
energy,2015-02-13T16:47:28.6830594Z,energy1,3,2279
humidity,2015-02-13T16:47:28.6830594Z,humidity1,3,70
light,2015-02-13T16:47:28.6830594Z,light1,3,1129
temperature,2015-02-13T16:47:28.7100792Z,temperature2,3,28.14
energy,2015-02-13T16:47:28.7100792Z,energy2,3,2341
humidity,2015-02-13T16:47:28.7100792Z,humidity2,3,65
light,2015-02-13T16:47:28.7100792Z,light2,3,1404
temperature,2015-02-13T16:47:28.7791280Z,temperature3,3,71.55
energy,2015-02-13T16:47:28.7791280Z,energy3,3,8735
humidity,2015-02-13T16:47:28.7791280Z,humidity3,3,42
light,2015-02-13T16:47:28.7791280Z,light3,3,181
temperature,2015-02-13T16:47:28.8222378Z,temperature4,3,22.35
energy,2015-02-13T16:47:28.8222378Z,energy4,3,3454
humidity,2015-02-13T16:47:28.8222378Z,humidity4,3,42
light,2015-02-13T16:47:28.8222378Z,light4,3,1949
temperature,2015-02-13T16:47:28.8792794Z,temperature5,3,24.61
energy,2015-02-13T16:47:28.8792794Z,energy5,3,3978
humidity,2015-02-13T16:47:28.8792794Z,humidity5,3,121
light,2015-02-13T16:47:28.8792794Z,light5,3,626
temperature,2015-02-13T16:47:29.0444245Z,temperature6,3,21.16
energy,2015-02-13T16:47:29.0444245Z,energy6,3,3694
humidity,2015-02-13T16:47:29.0444245Z,humidity6,3,96
light,2015-02-13T16:47:29.0444245Z,light6,3,487
temperature,2015-02-13T16:47:29.0654173Z,temperature7,3,22.4
energy,2015-02-13T16:47:29.0664116Z,energy7,3,2685
humidity,2015-02-13T16:47:29.0664116Z,humidity7,3,48
light,2015-02-13T16:47:29.0664116Z,light7,3,3266
temperature,2015-02-13T16:47:29.0894281Z,temperature8,3,27.99
energy,2015-02-13T16:47:29.0894281Z,energy8,3,5650
humidity,2015-02-13T16:47:29.0894281Z,humidity8,3,91
light,2015-02-13T16:47:29.0894281Z,light8,3,371
temperature,2015-02-13T16:47:29.1184789Z,temperature9,3,25.72
energy,2015-02-13T16:47:29.1184789Z,energy9,3,4778
humidity,2015-02-13T16:47:29.1184789Z,humidity9,3,64
light,2015-02-13T16:47:29.1184789Z,light9,3,1364
temperature,2015-02-13T16:47:29.1374614Z,temperature0,4,25.1
energy,2015-02-13T16:47:29.1374614Z,energy0,4,2406
humidity,2015-02-13T16:47:29.1374614Z,humidity0,4,76
light,2015-02-13T16:47:29.1384668Z,light0,4,698
temperature,2015-02-13T16:47:29.1644879Z,temperature1,4,19.87
energy,2015-02-13T16:47:29.1644879Z,energy1,4,3299
humidity,2015-02-13T16:47:29.1644879Z,humidity1,4,54
light,2015-02-13T16:47:29.1644879Z,light1,4,522
temperature,2015-02-13T16:47:29.2005063Z,temperature2,4,19.89
energy,2015-02-13T16:47:29.2005063Z,energy2,4,4593
humidity,2015-02-13T16:47:29.2005063Z,humidity2,4,65
light,2015-02-13T16:47:29.2005063Z,light2,4,1144
temperature,2015-02-13T16:47:29.2495427Z,temperature3,4,70.55
energy,2015-02-13T16:47:29.2495427Z,energy3,4,9427
humidity,2015-02-13T16:47:29.2495427Z,humidity3,4,66
light,2015-02-13T16:47:29.2495427Z,light3,4,316
temperature,2015-02-13T16:47:29.2625789Z,temperature4,4,26.36
energy,2015-02-13T16:47:29.2625789Z,energy4,4,4085
humidity,2015-02-13T16:47:29.2625789Z,humidity4,4,78
light,2015-02-13T16:47:29.2625789Z,light4,4,1482
temperature,2015-02-13T16:47:29.2935784Z,temperature5,4,25.13
energy,2015-02-13T16:47:29.2935784Z,energy5,4,3402
humidity,2015-02-13T16:47:29.2935784Z,humidity5,4,111
light,2015-02-13T16:47:29.2935784Z,light5,4,1233
temperature,2015-02-13T16:47:29.3175897Z,temperature6,4,28.12
energy,2015-02-13T16:47:29.3185946Z,energy6,4,4476
humidity,2015-02-13T16:47:29.3185946Z,humidity6,4,79
light,2015-02-13T16:47:29.3185946Z,light6,4,1274
temperature,2015-02-13T16:47:29.5337427Z,temperature7,4,24.02
energy,2015-02-13T16:47:29.5337427Z,energy7,4,4521
humidity,2015-02-13T16:47:29.5337427Z,humidity7,4,57
light,2015-02-13T16:47:29.5337427Z,light7,4,1419
temperature,2015-02-13T16:47:29.5547578Z,temperature8,4,33.52
energy,2015-02-13T16:47:29.5547578Z,energy8,4,3462
humidity,2015-02-13T16:47:29.5547578Z,humidity8,4,54
light,2015-02-13T16:47:29.5547578Z,light8,4,725
temperature,2015-02-13T16:47:29.5797763Z,temperature9,4,26.73
energy,2015-02-13T16:47:29.5797763Z,energy9,4,2172
humidity,2015-02-13T16:47:29.5797763Z,humidity9,4,52
light,2015-02-13T16:47:29.5797763Z,light9,4,1299
temperature,2015-02-13T16:47:30.6252315Z,temperature0,0,21.73
energy,2015-02-13T16:47:30.6252315Z,energy0,0,2620
humidity,2015-02-13T16:47:30.6252315Z,humidity0,0,49
light,2015-02-13T16:47:30.6252315Z,light0,0,739
temperature,2015-02-13T16:47:30.6802119Z,temperature1,0,25.2
energy,2015-02-13T16:47:30.6802119Z,energy1,0,3951
humidity,2015-02-13T16:47:30.6802119Z,humidity1,0,47
light,2015-02-13T16:47:30.6802119Z,light1,0,1674
temperature,2015-02-13T16:47:30.7042289Z,temperature2,0,22.04
energy,2015-02-13T16:47:30.7052303Z,energy2,0,4142
humidity,2015-02-13T16:47:30.7052303Z,humidity2,0,58
light,2015-02-13T16:47:30.7052303Z,light2,0,2031
temperature,2015-02-13T16:47:30.7342502Z,temperature3,0,80.73
energy,2015-02-13T16:47:30.7342502Z,energy3,0,6074
humidity,2015-02-13T16:47:30.7342502Z,humidity3,0,46
light,2015-02-13T16:47:30.7342502Z,light3,0,204
temperature,2015-02-13T16:47:30.8213127Z,temperature4,0,27.18
energy,2015-02-13T16:47:30.8223203Z,energy4,0,2666
humidity,2015-02-13T16:47:30.8223203Z,humidity4,0,58
light,2015-02-13T16:47:30.8223203Z,light4,0,486
temperature,2015-02-13T16:47:30.8553360Z,temperature5,0,21.46
energy,2015-02-13T16:47:30.8553360Z,energy5,0,3878
humidity,2015-02-13T16:47:30.8553360Z,humidity5,0,152
light,2015-02-13T16:47:30.8553360Z,light5,0,300
temperature,2015-02-13T16:47:31.0995191Z,temperature6,0,23.85
energy,2015-02-13T16:47:31.0995191Z,energy6,0,2853
humidity,2015-02-13T16:47:31.0995191Z,humidity6,0,104
light,2015-02-13T16:47:31.0995191Z,light6,0,541
temperature,2015-02-13T16:47:31.1245282Z,temperature7,0,22.78
energy,2015-02-13T16:47:31.1245282Z,energy7,0,2787
humidity,2015-02-13T16:47:31.1245282Z,humidity7,0,56
light,2015-02-13T16:47:31.1245282Z,light7,0,2774
temperature,2015-02-13T16:47:31.1795671Z,temperature8,0,28.03
energy,2015-02-13T16:47:31.1805689Z,energy8,0,3249
humidity,2015-02-13T16:47:31.1805689Z,humidity8,0,63
light,2015-02-13T16:47:31.1805689Z,light8,0,694
temperature,2015-02-13T16:47:31.2136166Z,temperature9,0,21.91
energy,2015-02-13T16:47:31.2136166Z,energy9,0,4656
humidity,2015-02-13T16:47:31.2136166Z,humidity9,0,43
light,2015-02-13T16:47:31.2145997Z,light9,0,447
temperature,2015-02-13T16:47:31.2806381Z,temperature0,1,25.8
energy,2015-02-13T16:47:31.2806381Z,energy0,1,2919
humidity,2015-02-13T16:47:31.2806381Z,humidity0,1,57
light,2015-02-13T16:47:31.2806381Z,light0,1,1329
temperature,2015-02-13T16:47:31.3016528Z,temperature1,1,23.27
energy,2015-02-13T16:47:31.3016528Z,energy1,1,3439
humidity,2015-02-13T16:47:31.3016528Z,humidity1,1,53
light,2015-02-13T16:47:31.3016528Z,light1,1,1510
temperature,2015-02-13T16:47:31.3236698Z,temperature2,1,20.94
energy,2015-02-13T16:47:31.3236698Z,energy2,1,2056
humidity,2015-02-13T16:47:31.3236698Z,humidity2,1,63
light,2015-02-13T16:47:31.3236698Z,light2,1,1169
temperature,2015-02-13T16:47:31.3506879Z,temperature3,1,70.29
energy,2015-02-13T16:47:31.3506879Z,energy3,1,6730
humidity,2015-02-13T16:47:31.3506879Z,humidity3,1,60
light,2015-02-13T16:47:31.3506879Z,light3,1,1051
temperature,2015-02-13T16:47:31.3937182Z,temperature4,1,23.34
energy,2015-02-13T16:47:31.3947200Z,energy4,1,2209
humidity,2015-02-13T16:47:31.3947200Z,humidity4,1,77
light,2015-02-13T16:47:31.3947200Z,light4,1,843
temperature,2015-02-13T16:47:31.4337471Z,temperature5,1,19.99
energy,2015-02-13T16:47:31.4337471Z,energy5,1,4578
humidity,2015-02-13T16:47:31.4337471Z,humidity5,1,133
light,2015-02-13T16:47:31.4337471Z,light5,1,1784
temperature,2015-02-13T16:47:31.4607919Z,temperature6,1,22.72
energy,2015-02-13T16:47:31.4607919Z,energy6,1,4336
humidity,2015-02-13T16:47:31.4607919Z,humidity6,1,98
light,2015-02-13T16:47:31.4607919Z,light6,1,1351
temperature,2015-02-13T16:47:31.4907882Z,temperature7,1,26.48
energy,2015-02-13T16:47:31.4907882Z,energy7,1,4257
humidity,2015-02-13T16:47:31.4907882Z,humidity7,1,74
light,2015-02-13T16:47:31.4907882Z,light7,1,3731
temperature,2015-02-13T16:47:31.5088001Z,temperature8,1,25.18
energy,2015-02-13T16:47:31.5088001Z,energy8,1,3175
humidity,2015-02-13T16:47:31.5088001Z,humidity8,1,72
light,2015-02-13T16:47:31.5088001Z,light8,1,1591
temperature,2015-02-13T16:47:31.7069421Z,temperature9,1,21.49
energy,2015-02-13T16:47:31.7069421Z,energy9,1,2211
humidity,2015-02-13T16:47:31.7069421Z,humidity9,1,70
light,2015-02-13T16:47:31.7069421Z,light9,1,1730
temperature,2015-02-13T16:47:31.8040104Z,temperature0,2,28.41
energy,2015-02-13T16:47:31.8040104Z,energy0,2,4298
humidity,2015-02-13T16:47:31.8040104Z,humidity0,2,46
light,2015-02-13T16:47:31.8040104Z,light0,2,589
temperature,2015-02-13T16:47:31.8380394Z,temperature1,2,25.99
energy,2015-02-13T16:47:31.8390350Z,energy1,2,4505
humidity,2015-02-13T16:47:31.8390350Z,humidity1,2,43
light,2015-02-13T16:47:31.8390350Z,light1,2,484
temperature,2015-02-13T16:47:31.9781344Z,temperature2,2,26.32
energy,2015-02-13T16:47:31.9781344Z,energy2,2,4131
humidity,2015-02-13T16:47:31.9781344Z,humidity2,2,79
light,2015-02-13T16:47:31.9781344Z,light2,2,391
temperature,2015-02-13T16:47:31.9951454Z,temperature3,2,80.02
energy,2015-02-13T16:47:31.9961472Z,energy3,2,11870
humidity,2015-02-13T16:47:31.9961472Z,humidity3,2,48
light,2015-02-13T16:47:31.9961472Z,light3,2,1404
temperature,2015-02-13T16:47:32.0531875Z,temperature4,2,26.38
energy,2015-02-13T16:47:32.0531875Z,energy4,2,3312
humidity,2015-02-13T16:47:32.0531875Z,humidity4,2,56
light,2015-02-13T16:47:32.0531875Z,light4,2,1597
temperature,2015-02-13T16:47:32.1902841Z,temperature5,2,28.52
energy,2015-02-13T16:47:32.1912855Z,energy5,2,3730
humidity,2015-02-13T16:47:32.1912855Z,humidity5,2,92
light,2015-02-13T16:47:32.1912855Z,light5,2,665
temperature,2015-02-13T16:47:32.4324565Z,temperature6,2,21.08
energy,2015-02-13T16:47:32.4324565Z,energy6,2,3979
humidity,2015-02-13T16:47:32.4324565Z,humidity6,2,88
light,2015-02-13T16:47:32.4334579Z,light6,2,670
temperature,2015-02-13T16:47:32.6446067Z,temperature7,2,25.47
energy,2015-02-13T16:47:32.6446067Z,energy7,2,3844
humidity,2015-02-13T16:47:32.6446067Z,humidity7,2,55
light,2015-02-13T16:47:32.6446067Z,light7,2,1383
temperature,2015-02-13T16:47:32.6696242Z,temperature8,2,26.92
energy,2015-02-13T16:47:32.6696242Z,energy8,2,5839
humidity,2015-02-13T16:47:32.6696242Z,humidity8,2,65
light,2015-02-13T16:47:32.6696242Z,light8,2,457
temperature,2015-02-13T16:47:32.7066516Z,temperature9,2,26.44
energy,2015-02-13T16:47:32.7066516Z,energy9,2,2762
humidity,2015-02-13T16:47:32.7066516Z,humidity9,2,52
light,2015-02-13T16:47:32.7066516Z,light9,2,854
temperature,2015-02-13T16:47:32.7326687Z,temperature0,3,26.37
energy,2015-02-13T16:47:32.7326687Z,energy0,3,2784
humidity,2015-02-13T16:47:32.7336701Z,humidity0,3,40
light,2015-02-13T16:47:32.7336701Z,light0,3,21
temperature,2015-02-13T16:47:32.7656933Z,temperature1,3,27.02
energy,2015-02-13T16:47:32.7656933Z,energy1,3,3980
humidity,2015-02-13T16:47:32.7666938Z,humidity1,3,77
light,2015-02-13T16:47:32.7666938Z,light1,3,684
temperature,2015-02-13T16:47:32.7877098Z,temperature2,3,19.78
energy,2015-02-13T16:47:32.7877098Z,energy2,3,4111
humidity,2015-02-13T16:47:32.7877098Z,humidity2,3,46
light,2015-02-13T16:47:32.7877098Z,light2,3,1626
temperature,2015-02-13T16:47:32.8147279Z,temperature3,3,72.35
energy,2015-02-13T16:47:32.8147279Z,energy3,3,7042
humidity,2015-02-13T16:47:32.8147279Z,humidity3,3,40
light,2015-02-13T16:47:32.8147279Z,light3,3,639
temperature,2015-02-13T16:47:32.8497525Z,temperature4,3,26.06
energy,2015-02-13T16:47:32.8497525Z,energy4,3,4278
humidity,2015-02-13T16:47:32.8497525Z,humidity4,3,46
light,2015-02-13T16:47:32.8497525Z,light4,3,30
temperature,2015-02-13T16:47:32.9017922Z,temperature5,3,24
energy,2015-02-13T16:47:32.9017922Z,energy5,3,4050
humidity,2015-02-13T16:47:32.9017922Z,humidity5,3,137
light,2015-02-13T16:47:32.9017922Z,light5,3,168
temperature,2015-02-13T16:47:32.9458207Z,temperature6,3,22.92
energy,2015-02-13T16:47:32.9458207Z,energy6,3,3880
humidity,2015-02-13T16:47:32.9458207Z,humidity6,3,119
light,2015-02-13T16:47:32.9458207Z,light6,3,1760
temperature,2015-02-13T16:47:33.1049602Z,temperature7,3,23.42
energy,2015-02-13T16:47:33.1049602Z,energy7,3,4762
humidity,2015-02-13T16:47:33.1049602Z,humidity7,3,41
light,2015-02-13T16:47:33.1049602Z,light7,3,1947
temperature,2015-02-13T16:47:33.1279500Z,temperature8,3,25.18
energy,2015-02-13T16:47:33.1289514Z,energy8,3,5635
humidity,2015-02-13T16:47:33.1289514Z,humidity8,3,89
light,2015-02-13T16:47:33.1289514Z,light8,3,1245
temperature,2015-02-13T16:47:33.3140826Z,temperature9,3,24.91
energy,2015-02-13T16:47:33.3140826Z,energy9,3,2262
humidity,2015-02-13T16:47:33.3140826Z,humidity9,3,62
light,2015-02-13T16:47:33.3140826Z,light9,3,863
temperature,2015-02-13T16:47:33.3461049Z,temperature0,4,26.54
energy,2015-02-13T16:47:33.3461049Z,energy0,4,2036
humidity,2015-02-13T16:47:33.3461049Z,humidity0,4,53
light,2015-02-13T16:47:33.3461049Z,light0,4,1627
temperature,2015-02-13T16:47:33.3751275Z,temperature1,4,24.08
energy,2015-02-13T16:47:33.3751275Z,energy1,4,3815
humidity,2015-02-13T16:47:33.3751275Z,humidity1,4,66
light,2015-02-13T16:47:33.3751275Z,light1,4,238
temperature,2015-02-13T16:47:33.4011701Z,temperature2,4,28.77
energy,2015-02-13T16:47:33.4011701Z,energy2,4,2023
humidity,2015-02-13T16:47:33.4011701Z,humidity2,4,62
light,2015-02-13T16:47:33.4011701Z,light2,4,2056
temperature,2015-02-13T16:47:33.4591894Z,temperature3,4,57.45
energy,2015-02-13T16:47:33.4601859Z,energy3,4,8013
humidity,2015-02-13T16:47:33.4601859Z,humidity3,4,79
light,2015-02-13T16:47:33.4601859Z,light3,4,50
temperature,2015-02-13T16:47:33.4782246Z,temperature4,4,25.52
energy,2015-02-13T16:47:33.4782246Z,energy4,4,4715
humidity,2015-02-13T16:47:33.4782246Z,humidity4,4,65
light,2015-02-13T16:47:33.4782246Z,light4,4,421
temperature,2015-02-13T16:47:33.5052185Z,temperature5,4,27.13
energy,2015-02-13T16:47:33.5052185Z,energy5,4,4774
humidity,2015-02-13T16:47:33.5052185Z,humidity5,4,165
light,2015-02-13T16:47:33.5052185Z,light5,4,131
temperature,2015-02-13T16:47:33.5242314Z,temperature6,4,25.97
energy,2015-02-13T16:47:33.5242314Z,energy6,4,3988
humidity,2015-02-13T16:47:33.5242314Z,humidity6,4,102
light,2015-02-13T16:47:33.5242314Z,light6,4,1337
temperature,2015-02-13T16:47:33.5622588Z,temperature7,4,22.55
energy,2015-02-13T16:47:33.5622588Z,energy7,4,2900
humidity,2015-02-13T16:47:33.5622588Z,humidity7,4,71
light,2015-02-13T16:47:33.5622588Z,light7,4,2515
temperature,2015-02-13T16:47:33.5782697Z,temperature8,4,25.96
energy,2015-02-13T16:47:33.5782697Z,energy8,4,4790
humidity,2015-02-13T16:47:33.5782697Z,humidity8,4,60
light,2015-02-13T16:47:33.5782697Z,light8,4,836
temperature,2015-02-13T16:47:33.6383137Z,temperature9,4,22.92
energy,2015-02-13T16:47:33.6383137Z,energy9,4,4114
humidity,2015-02-13T16:47:33.6383137Z,humidity9,4,64
light,2015-02-13T16:47:33.6383137Z,light9,4,1319
temperature,2015-02-13T16:47:34.6794006Z,temperature0,0,28.79
energy,2015-02-13T16:47:34.6794006Z,energy0,0,4157
humidity,2015-02-13T16:47:34.6794006Z,humidity0,0,79
light,2015-02-13T16:47:34.6794006Z,light0,0,733
temperature,2015-02-13T16:47:34.7094210Z,temperature1,0,23.3
energy,2015-02-13T16:47:34.7094210Z,energy1,0,2262
humidity,2015-02-13T16:47:34.7094210Z,humidity1,0,54
light,2015-02-13T16:47:34.7094210Z,light1,0,1535
temperature,2015-02-13T16:47:34.7574350Z,temperature2,0,28.26
energy,2015-02-13T16:47:34.7574350Z,energy2,0,4428
humidity,2015-02-13T16:47:34.7574350Z,humidity2,0,42
light,2015-02-13T16:47:34.7574350Z,light2,0,1377
temperature,2015-02-13T16:47:34.7884774Z,temperature3,0,66.37
energy,2015-02-13T16:47:34.7884774Z,energy3,0,8970
humidity,2015-02-13T16:47:34.7884774Z,humidity3,0,66
light,2015-02-13T16:47:34.7884774Z,light3,0,1425
temperature,2015-02-13T16:47:34.8104653Z,temperature4,0,20.04
energy,2015-02-13T16:47:34.8104653Z,energy4,0,2815
humidity,2015-02-13T16:47:34.8104653Z,humidity4,0,48
light,2015-02-13T16:47:34.8104653Z,light4,0,2155
temperature,2015-02-13T16:47:34.8414929Z,temperature5,0,19.82
energy,2015-02-13T16:47:34.8414929Z,energy5,0,4659
humidity,2015-02-13T16:47:34.8414929Z,humidity5,0,152
light,2015-02-13T16:47:34.8414929Z,light5,0,1222
temperature,2015-02-13T16:47:34.8785136Z,temperature6,0,21.71
energy,2015-02-13T16:47:34.8785136Z,energy6,0,4751
humidity,2015-02-13T16:47:34.8785136Z,humidity6,0,110
light,2015-02-13T16:47:34.8785136Z,light6,0,747
temperature,2015-02-13T16:47:34.9025579Z,temperature7,0,19.96
energy,2015-02-13T16:47:34.9035316Z,energy7,0,3552
humidity,2015-02-13T16:47:34.9035316Z,humidity7,0,66
light,2015-02-13T16:47:34.9035316Z,light7,0,3762
temperature,2015-02-13T16:47:34.9365834Z,temperature8,0,27.2
energy,2015-02-13T16:47:34.9375558Z,energy8,0,5593
humidity,2015-02-13T16:47:34.9375558Z,humidity8,0,55
light,2015-02-13T16:47:34.9375558Z,light8,0,130
temperature,2015-02-13T16:47:34.9555686Z,temperature9,0,28.58
energy,2015-02-13T16:47:34.9555686Z,energy9,0,3625
humidity,2015-02-13T16:47:34.9555686Z,humidity9,0,66
light,2015-02-13T16:47:34.9555686Z,light9,0,1076
temperature,2015-02-13T16:47:34.9795847Z,temperature0,1,22.54
energy,2015-02-13T16:47:34.9795847Z,energy0,1,4174
humidity,2015-02-13T16:47:34.9795847Z,humidity0,1,72
light,2015-02-13T16:47:34.9795847Z,light0,1,869
temperature,2015-02-13T16:47:34.9966247Z,temperature1,1,21.99
energy,2015-02-13T16:47:34.9966247Z,energy1,1,2419
humidity,2015-02-13T16:47:34.9966247Z,humidity1,1,46
light,2015-02-13T16:47:34.9966247Z,light1,1,1449
temperature,2015-02-13T16:47:35.0446311Z,temperature2,1,19.8
energy,2015-02-13T16:47:35.0446311Z,energy2,1,3354
humidity,2015-02-13T16:47:35.0446311Z,humidity2,1,56
light,2015-02-13T16:47:35.0446311Z,light2,1,177
temperature,2015-02-13T16:47:35.0766820Z,temperature3,1,68.19
energy,2015-02-13T16:47:35.0776615Z,energy3,1,12166
humidity,2015-02-13T16:47:35.0776615Z,humidity3,1,68
light,2015-02-13T16:47:35.0776615Z,light3,1,139
temperature,2015-02-13T16:47:35.1266889Z,temperature4,1,28.28
energy,2015-02-13T16:47:35.1266889Z,energy4,1,2906
humidity,2015-02-13T16:47:35.1266889Z,humidity4,1,47
light,2015-02-13T16:47:35.1266889Z,light4,1,1222
temperature,2015-02-13T16:47:35.1937376Z,temperature5,1,22.92
energy,2015-02-13T16:47:35.1937376Z,energy5,1,4773
humidity,2015-02-13T16:47:35.1937376Z,humidity5,1,152
light,2015-02-13T16:47:35.1937376Z,light5,1,721
temperature,2015-02-13T16:47:35.3718637Z,temperature6,1,21.2
energy,2015-02-13T16:47:35.3718637Z,energy6,1,2418
humidity,2015-02-13T16:47:35.3718637Z,humidity6,1,83
light,2015-02-13T16:47:35.3718637Z,light6,1,947
temperature,2015-02-13T16:47:35.5619982Z,temperature7,1,21.95
energy,2015-02-13T16:47:35.5619982Z,energy7,1,3734
humidity,2015-02-13T16:47:35.5619982Z,humidity7,1,72
light,2015-02-13T16:47:35.5619982Z,light7,1,2029
temperature,2015-02-13T16:47:35.6170433Z,temperature8,1,30.35
energy,2015-02-13T16:47:35.6170433Z,energy8,1,4564
humidity,2015-02-13T16:47:35.6170433Z,humidity8,1,71
light,2015-02-13T16:47:35.6170433Z,light8,1,500
temperature,2015-02-13T16:47:35.6320738Z,temperature9,1,20.6
energy,2015-02-13T16:47:35.6320738Z,energy9,1,2955
humidity,2015-02-13T16:47:35.6320738Z,humidity9,1,56
light,2015-02-13T16:47:35.6330493Z,light9,1,159
temperature,2015-02-13T16:47:35.6961193Z,temperature0,2,26.89
energy,2015-02-13T16:47:35.6961193Z,energy0,2,4692
humidity,2015-02-13T16:47:35.6961193Z,humidity0,2,55
light,2015-02-13T16:47:35.6961193Z,light0,2,1034
temperature,2015-02-13T16:47:35.7211149Z,temperature1,2,20.72
energy,2015-02-13T16:47:35.7221123Z,energy1,2,3703
humidity,2015-02-13T16:47:35.7221123Z,humidity1,2,55
light,2015-02-13T16:47:35.7221123Z,light1,2,943
temperature,2015-02-13T16:47:35.8092002Z,temperature2,2,21.55
energy,2015-02-13T16:47:35.8092002Z,energy2,2,2260
humidity,2015-02-13T16:47:35.8092002Z,humidity2,2,45
light,2015-02-13T16:47:35.8092002Z,light2,2,1417
temperature,2015-02-13T16:47:35.8552057Z,temperature3,2,64.89
energy,2015-02-13T16:47:35.8552057Z,energy3,2,7379
humidity,2015-02-13T16:47:35.8552057Z,humidity3,2,49
light,2015-02-13T16:47:35.8552057Z,light3,2,655
temperature,2015-02-13T16:47:36.1203946Z,temperature4,2,28.3
energy,2015-02-13T16:47:36.1203946Z,energy4,2,3194
